date,competition,home_team,away_team,home_score,away_score,result
06/12/2017,Copa Sudamericana 2017 - Final,Independiente de Argentina,Flamengo de Brasil,2,1,WIN
13/12/2017,Copa Sudamericana 2017 - Final,Flamengo de Brasil,Independiente de Argentina,1,1,DRAW
21/11/2017,Copa Sudamericana 2017 - Semifinales,Libertad de Paraguay,Independiente de Argentina,1,0,LOSS
04/04/2017,Copa Sudamericana 2017,Independiente de Argentina,Alianza Lima de Perú,0,0,DRAW
31/05/2017,Copa Sudamericana 2017,Alianza Lima de Perú,Independiente de Argentina,0,1,WIN
02/08/2017,Copa Sudamericana 2017,Deportes Iquique de Chile,Independiente de Argentina,1,2,WIN
22/08/2017,Copa Sudamericana 2017,Atlético Tucumán de Tucumán,Independiente de Argentina,1,0,LOSS
12/09/2017,Copa Sudamericana 2017,Independiente de Argentina,Atlético Tucumán de Argentina,2,0,WIN
25/10/2017,Copa Sudamericana 2017,Nacional de Paraguay,Independiente de Argentina,1,4,WIN
02/11/2017,Copa Sudamericana 2017,Independiente de Argentina,Nacional de Paraguay,2,0,WIN
