date,competition,home_team,away_team,home_score,away_score,result
04/08/2012,Primera División,Newell’s Old Boys,Independiente,0,0,DRAW
07/10/2012,Primera División,Independiente,Atlético de Rafaela,2,0,WIN
11/09/2011,Primera División,Belgrano de Córdoba,Independiente,2,0,LOSS
11/11/2012,Primera División,San Martín de San Juan,Independiente,0,0,DRAW
13/08/2012,Primera División,Independiente,Vélez Sarsfield,0,0,DRAW
16/08/2011,Primera División,Lanús,Independiente,1,0,LOSS
19/08/2012,Primera División,Racing Club,Independiente,2,0,LOSS
19/11/2011,Primera División,Independiente,Olimpo de Bahía Blanca,3,0,WIN
20/08/2011,Primera División,Independiente,Estudiantes de La Plata,1,0,WIN
24/10/2011,Primera División,Banfield,Independiente,3,0,LOSS
24/11/2012,Primera División,Independiente,River Plate,2,2,DRAW
28/08/2011,Primera División,Argentinos Juniors,Independiente,0,0,DRAW
28/11/2011,Primera División,Unión de Santa Fe,Independiente,0,0,DRAW
29/10/2011,Primera División,Independiente,Arsenal FC,0,0,DRAW
