date,competition,home_team,away_team,home_score,away_score,result
06/12/2017,Copa Sudamericana 2017 - Final,Independiente de Argentina,Flamengo de Brasil,2,1,WIN
13/12/2017,Copa Sudamericana 2017 - Final,Flamengo de Brasil,Independiente de Argentina,1,1,DRAW
21/11/2017,Copa Sudamericana 2017 - Semifinales,Libertad de Paraguay,Independiente de Argentina,1,0,LOSS
11/08/2013,Primera B Nacional 2013/14,Gimnasia y Esgrima de Jujuy,Independiente,0,2,WIN
17/08/2013,Primera B Nacional 2013/14,Independiente,Instituto de Córdoba,3,1,WIN
25/08/2013,Primera B Nacional 2013/14,Patronato de Paraná,Independiente,0,1,WIN
01/09/2013,Primera B Nacional 2013/14,Independiente,Talleres de Córdoba,0,0,DRAW
07/09/2013,Primera B Nacional 2013/14,Cipolletti,Independiente,1,1,DRAW
14/09/2013,Primera B Nacional 2013/14,Independiente,Aldosivi de Mar del Plata,2,0,WIN
21/09/2013,Primera B Nacional 2013/14,Gimnasia y Esgrima de Mendoza,Independiente,0,2,WIN
29/09/2013,Primera B Nacional 2013/14,Independiente,Ferro Carril Oeste,0,0,DRAW
26/08/2015,Copa Sudamericana 2015,Arsenal FC de Argentina,Independiente de Argentina,1,1,DRAW
16/09/2015,Copa Sudamericana 2015,Independiente de Argentina,Arsenal FC de Argentina,1,0,WIN
23/09/2015,Copa Sudamericana 2015,Independiente de Argentina,Olimpia de Paraguay,1,0,WIN
30/09/2015,Copa Sudamericana 2015,Olimpia de Paraguay,Independiente de Argentina,0,0,DRAW
22/10/2015,Copa Sudamericana 2015,Independiente de Argentina,Independiente Santa Fe de Colombia,0,1,LOSS
29/10/2015,Copa Sudamericana 2015,Independiente Santa Fe de Colombia,Independiente de Argentina,1,1,DRAW
25/08/2016,Copa Sudamericana 2016,Lanús de Argentina,Independiente de Argentina,0,2,WIN
14/09/2016,Copa Sudamericana 2016,Independiente de Argentina,Lanús de Argentina,1,0,WIN
21/09/2016,Copa Sudamericana 2016,Independiente de Argentina,Chapecoense de Brasil,0,0,DRAW
28/09/2016,Copa Sudamericana 2016,Chapecoense de Brasil,Independiente de Avellaneda,0,0,DRAW
04/04/2017,Copa Sudamericana 2017,Independiente de Argentina,Alianza Lima de Perú,0,0,DRAW
31/05/2017,Copa Sudamericana 2017,Alianza Lima de Perú,Independiente de Argentina,0,1,WIN
02/08/2017,Copa Sudamericana 2017,Deportes Iquique de Chile,Independiente de Argentina,1,2,WIN
22/08/2017,Copa Sudamericana 2017,Atlético Tucumán de Tucumán,Independiente de Argentina,1,0,LOSS
12/09/2017,Copa Sudamericana 2017,Independiente de Argentina,Atlético Tucumán de Argentina,2,0,WIN
25/10/2017,Copa Sudamericana 2017,Nacional de Paraguay,Independiente de Argentina,1,4,WIN
02/11/2017,Copa Sudamericana 2017,Independiente de Argentina,Nacional de Paraguay,2,0,WIN
