date,competition,home_team,away_team,home_score,away_score,result
02/10/2011,Torneo Apertura,Racing Club,Independiente,1,1,DRAW
02/12/2012,Torneo Inicial,San Lorenzo de Almagro,Independiente,2,1,LOSS
03/02/2013,Torneo Inicial,Independiente,Tigre,1,1,DRAW
04/08/2012,Torneo Inicial,Newell’s Old Boys,Independiente,0,0,DRAW
04/09/2011,Torneo Apertura,Independiente,Boca Juniors,0,1,LOSS
04/11/2011,Torneo Apertura,All Boys,Independiente,2,2,DRAW
04/12/2011,Torneo Apertura,Independiente,Newell’s Old Boys,1,1,DRAW
05/11/2012,Torneo Inicial,Independiente,Lanús,0,2,LOSS
06/12/2017,Copa Sudamericana,Independiente de Argentina,Flamengo de Brasil,2,1,WIN
07/09/2011,Torneo Apertura,Independiente,San Martín de San Juan,2,1,WIN
07/10/2012,Torneo Inicial,Independiente,Atlético de Rafaela,2,0,WIN
08/12/2011,Torneo Apertura,San Lorenzo de Almagro,Independiente,0,1,WIN
09/09/2012,Torneo Inicial,Independiente,Quilmes AC,1,1,DRAW
09/12/2012,Torneo Inicial,Independiente,Colón de Santa Fe,2,2,DRAW
11/09/2011,Torneo Apertura,Belgrano de Córdoba,Independiente,2,0,LOSS
11/11/2012,Torneo Inicial,San Martín de San Juan,Independiente,0,0,DRAW
13/08/2012,Torneo Inicial,Independiente,Vélez Sarsfield,0,0,DRAW
13/12/2017,Copa Sudamericana,Flamengo de Brasil,Independiente de Argentina,1,1,DRAW
14/11/2012,Torneo Inicial,Independiente,Belgrano de Córdoba,1,2,LOSS
15/10/2011,Torneo Apertura,Independiente,Godoy Cruz Antonio Tomba de Mendoza,2,1,WIN
16/08/2011,Torneo Apertura,Lanús,Independiente,1,0,LOSS
16/09/2011,Torneo Apertura,Independiente,Colón de Santa Fe,0,1,LOSS
16/09/2012,Torneo Inicial,Boca Juniors,Independiente,2,1,LOSS
19/08/2012,Torneo Inicial,Racing Club,Independiente,2,0,LOSS
19/10/2012,Torneo Inicial,Argentinos Juniors,Independiente,0,1,WIN
19/11/2011,Torneo Apertura,Independiente,Olimpo de Bahía Blanca,3,0,WIN
20/08/2011,Torneo Apertura,Independiente,Estudiantes de La Plata,1,0,WIN
21/09/2011,Torneo Apertura,Atlético de Rafaela,Independiente,1,3,WIN
22/09/2012,Torneo Inicial,Independiente,All Boys,1,1,DRAW
24/10/2011,Torneo Apertura,Banfield,Independiente,3,0,LOSS
24/11/2012,Torneo Inicial,Independiente,River Plate,2,2,DRAW
25/08/2012,Torneo Inicial,Independiente,Arsenal FC,0,2,LOSS
25/09/2011,Torneo Apertura,Independiente,Vélez Sarsfield,0,1,LOSS
28/08/2011,Torneo Apertura,Argentinos Juniors,Independiente,0,0,DRAW
28/11/2011,Torneo Apertura,Unión de Santa Fe,Independiente,0,0,DRAW
29/10/2011,Torneo Apertura,Independiente,Arsenal FC,0,0,DRAW
30/09/2012,Torneo Inicial,Unión de Santa Fe,Independiente,1,2,WIN
