date,competition,home_team,away_team,home_score,away_score,result
07/09/2011,Torneo Apertura 2011,Independiente,San Martin de San Juan,2,1,WIN
16/08/2011,Torneo Apertura 2011,Lanus,Independiente,1,0,LOSS
20/08/2011,Torneo Apertura 2011,Independiente,Estudiantes de La Plata,1,0,WIN
28/08/2011,Torneo Apertura 2011,Argentinos Juniors,Independiente,0,0,DRAW
04/09/2011,Torneo Apertura 2011,Independiente,Boca Juniors,0,1,LOSS
11/09/2011,Torneo Apertura 2011,Belgrano de Cordoba,Independiente,2,0,LOSS
16/09/2011,Torneo Apertura 2011,Independiente,Colon de Santa Fe,0,1,LOSS
21/09/2011,Torneo Apertura 2011,Atletico de Rafaela,Independiente,1,3,WIN
25/09/2011,Torneo Apertura 2011,Independiente,Velez Sarsfield,0,1,LOSS
02/10/2011,Torneo Apertura 2011,Racing Club,Independiente,1,1,DRAW
15/10/2011,Torneo Apertura 2011,Independiente,Godoy Cruz Antonio Tomba de Mendoza,2,1,WIN
24/10/2011,Torneo Apertura 2011,Banfield,Independiente,3,0,LOSS
29/10/2011,Torneo Apertura 2011,Independiente,Arsenal FC,0,0,DRAW
04/11/2011,Torneo Apertura 2011,All Boys,Independiente,2,2,DRAW
19/11/2011,Torneo Apertura 2011,Independiente,Olimpo de Bahia Blanca,3,0,WIN
28/11/2011,Torneo Apertura 2011,Union de Santa Fe,Independiente,0,0,DRAW
04/12/2011,Torneo Apertura 2011,Independiente,Newell's Old Boys,1,1,DRAW
08/12/2011,Torneo Apertura 2011,San Lorenzo de Almagro,Independiente,0,1,WIN
12/12/2011,Torneo Apertura 2011,Independiente,Tigre,2,1,WIN
03/08/2013,Primera B Nacional 2013/14,Independiente,Brown,1,2,LOSS
17/08/2013,Primera B Nacional 2013/14,Independiente,Aldosivi de Mar del Plata,2,2,DRAW
24/08/2013,Primera B Nacional 2013/14,Atletico Tucuman de Tucuman,Independiente,2,1,LOSS
14/09/2013,Primera B Nacional 2013/14,Independiente,Banfield,1,1,DRAW
23/09/2013,Primera B Nacional 2013/14,Independiente,Sarmiento de Junin,2,1,WIN
28/09/2013,Primera B Nacional 2013/14,Talleres de Cordoba,Independiente,2,2,DRAW
24/10/2013,Primera B Nacional 2013/14,Independiente,Union de Santa Fe,1,1,DRAW
19/10/2013,Primera B Nacional 2013/14,Independiente,Crucero del Norte de Garupa,2,1,WIN
29/10/2013,Primera B Nacional 2013/14,Sportivo Belgrano de San Francisco,Independiente,0,1,WIN
09/11/2013,Primera B Nacional 2013/14,San Martin de San Juan,Independiente,0,0,DRAW
13/11/2013,Primera B Nacional 2013/14,Independiente,Ferrocarril Oeste,3,0,WIN
18/11/2013,Primera B Nacional 2013/14,Independiente,Douglas Haig de Pergamino,2,0,WIN
23/11/2013,Primera B Nacional 2013/14,Defensa y Justicia,Independiente,0,0,DRAW
04/04/2017,Copa Sudamericana 2017,Independiente,Alianza Lima de Peru,0,0,DRAW
31/05/2017,Copa Sudamericana 2017,Alianza Lima de Peru,Independiente,0,1,WIN
12/07/2017,Copa Sudamericana 2017,Independiente,Deportes Iquique de Chile,4,2,WIN
02/08/2017,Copa Sudamericana 2017,Deportes Iquique de Chile,Independiente,1,2,WIN
22/08/2017,Copa Sudamericana 2017,Atletico Tucuman de Tucuman,Independiente,1,0,LOSS
12/09/2017,Copa Sudamericana 2017,Independiente,Atletico Tucuman de Tucuman,2,0,WIN
25/10/2017,Copa Sudamericana 2017,Nacional de Paraguay,Independiente,1,4,WIN
02/11/2017,Copa Sudamericana 2017,Independiente,Nacional de Paraguay,2,0,WIN
21/11/2017,Copa Sudamericana 2017,Libertad de Paraguay,Independiente,1,0,LOSS
28/11/2017,Copa Sudamericana 2017,Independiente,Libertad de Paraguay,3,1,WIN
06/12/2017,Copa Sudamericana 2017,Independiente,Flamengo de Brasil,2,1,WIN
13/12/2017,Copa Sudamericana 2017,Flamengo de Brasil,Independiente,1,1,DRAW
