date,competition,home_team,away_team,home_score,away_score,result
01/09/1940,Primera División,Rosario Central,Independiente,2,2,DRAW
01/12/1940,Primera División,Independiente,Huracán,0,1,LOSS
02/06/1940,Primera División,Independiente,Platense,1,3,LOSS
03/11/1940,Primera División,Independiente,Racing Club,7,0,WIN
04/08/1940,Primera División,Independiente,Atlanta,2,0,WIN
05/05/1940,Primera División,Independiente,San Lorenzo,3,0,WIN
06/10/1940,Primera División,Banfield,Independiente,0,1,WIN
07/04/1940,Primera División,River Plate,Independiente,1,2,WIN
07/07/1940,Primera División,Independiente,Vélez Sarsfield,5,0,WIN
08/12/1940,Primera División,Boca Juniors,Independiente,5,2,LOSS
10/11/1940,Primera División,Estudiantes de La Plata,Independiente,0,1,WIN
11/08/1940,Primera División,Huracán,Independiente,1,0,LOSS
12/05/1940,Primera División,Ferro Carril Oeste,Independiente,1,2,WIN
14/04/1940,Primera División,Gimnasia y Esgrima La Plata,Independiente,1,1,DRAW
15/09/1940,Primera División,Independiente,Tigre,3,3,DRAW
15/12/1940,Primera División,Independiente,Lanús,5,3,WIN
16/06/1940,Primera División,Racing Club,Independiente,1,1,DRAW
17/11/1940,Primera División,Independiente,Newell’s Old Boys,2,1,WIN
18/08/1940,Primera División,Independiente,River Plate,2,2,DRAW
19/05/1940,Primera División,Independiente,Banfield,1,2,LOSS
21/07/1940,Primera División,Independiente,Boca Juniors,7,1,WIN
22/09/1940,Primera División,San Lorenzo,Independiente,2,4,WIN
22/12/1940,Primera División,Atlanta,Independiente,6,4,LOSS
23/05/1940,Primera División,Chacarita Juniors,Independiente,1,3,WIN
23/06/1940,Primera División,Independiente,Estudiantes de La Plata,8,1,WIN
24/11/1940,Primera División,Vélez Sarsfield,Independiente,5,4,LOSS
25/08/1940,Primera División,Independiente,Gimnasia y Esgrima La Plata,4,2,WIN
27/10/1940,Primera División,Platense,Independiente,0,0,DRAW
28/04/1940,Primera División,Tigre,Independiente,1,3,WIN
29/09/1940,Primera División,Independiente,Ferro Carril Oeste,3,0,WIN
30/06/1940,Primera División,Newell’s Old Boys,Independiente,1,1,DRAW
31/07/1940,Primera División,Lanús,Independiente,0,2,WIN
